name,id,alias,image_url,is_closed,url,review_count,categories,rating,coordinates_latitude,coordinates_longitude,transactions_delivery,transactions_pickup,transactions_restaurant_reservation,price,location_address1,location_address2,location_address3,location_city,location_zip_code,location_country,location_state,display_address,phone,display_phone,distance
Lawrence Fish Market,uQFHfnbJm7LIxLhjMKc4mQ,lawrence-fish-market-chicago-2,https://s3-media2.fl.yelpcdn.com/bphoto/g80u74L40qB93-Ah2vVVuQ/o.jpg,False,https://www.yelp.com/biz/lawrence-fish-market-chicago-2?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,879,"sushi | Sushi Bars, seafood | Seafood",4.5,41.968411,-87.726525,True,False,False,$$,3920 W Lawrence Ave,,,Chicago,60625,US,IL,"3920 W Lawrence Ave, Chicago, IL 60625",+17732676838,(773) 267-6838,426.4466941189802
Smoque BBQ,LPwAwxEjetjdNh7Uadro3g,smoque-bbq-chicago,https://s3-media4.fl.yelpcdn.com/bphoto/T-oNCsrLiZc2lwrI3r9phQ/o.jpg,False,https://www.yelp.com/biz/smoque-bbq-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,4143,bbq | Barbeque,4.5,41.95021,-87.72795,False,False,False,$$,3800 N Pulaski Rd,Ste 2,,Chicago,60641,US,IL,"3800 N Pulaski Rd, Ste 2, Chicago, IL 60641",+17735457427,(773) 545-7427,2094.635000324561
Noon O Kabab,8j97C2qR95tvpbGtoFxEAw,noon-o-kabab-chicago-8,https://s3-media2.fl.yelpcdn.com/bphoto/aVFaQZUcmpILxJJo7Q-BTQ/o.jpg,False,https://www.yelp.com/biz/noon-o-kabab-chicago-8?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,1044,"persian | Persian/Iranian, mediterranean | Mediterranean",4.0,41.9669816,-87.7081594,True,False,False,$$,4701 N Kedzie Ave,,,Chicago,60625,US,IL,"4701 N Kedzie Ave, Chicago, IL 60625",+17732798899,(773) 279-8899,1103.485983362421
Kabobi Grill,YqzDH4OmV43NeD1h4yu7Tg,kabobi-grill-chicago,https://s3-media2.fl.yelpcdn.com/bphoto/9q8qTacFy8tBau8sKuQlMQ/o.jpg,False,https://www.yelp.com/biz/kabobi-grill-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,680,"mediterranean | Mediterranean, persian | Persian/Iranian",4.5,41.9680551997115,-87.7086880803108,True,True,False,$$,4748 N Kedzie Ave,,,Chicago,60625,US,IL,"4748 N Kedzie Ave, Chicago, IL 60625",+17735831400,(773) 583-1400,1048.9778366325634
Great Sea Restaurant,4-uKJdGyT0iZmu3rbSDwBw,great-sea-restaurant-chicago,https://s3-media2.fl.yelpcdn.com/bphoto/7CEbreU93HOBwlA49elgvA/o.jpg,False,https://www.yelp.com/biz/great-sea-restaurant-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,710,"chinese | Chinese, chicken_wings | Chicken Wings",4.0,41.9683111314671,-87.7106371012279,True,True,False,$$,3253 W Lawrence Ave,,,Chicago,60625,US,IL,"3253 W Lawrence Ave, Chicago, IL 60625",+17734789129,(773) 478-9129,887.1567575846664
Semiramis,oEgweNIV8Xruk_TVSJzckQ,semiramis-chicago-2,https://s3-media1.fl.yelpcdn.com/bphoto/M5vMTRqXHhWqh-J9fo-t5g/o.jpg,False,https://www.yelp.com/biz/semiramis-chicago-2?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,552,"lebanese | Lebanese, mediterranean | Mediterranean",4.0,41.9658426,-87.7082133,True,True,False,$$,4639 N Kedzie Ave,,,Chicago,60625,US,IL,"4639 N Kedzie Ave, Chicago, IL 60625",+17732798900,(773) 279-8900,1121.551686242606
Bryn Mawr Breakfast Club,5u27W_xHIKhVbws08lXXJg,bryn-mawr-breakfast-club-chicago-2,https://s3-media3.fl.yelpcdn.com/bphoto/sITPL4HK949BgMAvqyAXRg/o.jpg,False,https://www.yelp.com/biz/bryn-mawr-breakfast-club-chicago-2?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,903,breakfast_brunch | Breakfast & Brunch,4.5,41.9831649,-87.71335,True,False,False,$$,3348 W Bryn Mawr Ave,,,Chicago,60659,US,IL,"3348 W Bryn Mawr Ave, Chicago, IL 60659",+18722087079,(872) 208-7079,1774.5902428227992
Ruby's Fast Food,6stjHiOWQJZjzlGGZDGdUg,rubys-fast-food-chicago,https://s3-media2.fl.yelpcdn.com/bphoto/mwEewbhDkVsA78kNUYpJwQ/o.jpg,False,https://www.yelp.com/biz/rubys-fast-food-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,257,"filipino | Filipino, buffets | Buffets, hotdogs | Fast Food",4.5,41.96126,-87.72215,True,False,False,$,3740 W Montrose Ave,,,Chicago,60618,US,IL,"3740 W Montrose Ave, Chicago, IL 60618",+17735392669,(773) 539-2669,797.9143938128115
Kuma's Corner - Belmont,pVPyt3TugMd8FW5LGznkQQ,kumas-corner-belmont-chicago,https://s3-media2.fl.yelpcdn.com/bphoto/tczjU01MzXiOMPKY1CEQ0Q/o.jpg,False,https://www.yelp.com/biz/kumas-corner-belmont-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,5034,"pubs | Pubs, burgers | Burgers",4.0,41.939640045166,-87.7004470825195,True,False,False,$$,2900 W Belmont Ave,,,Chicago,60618,US,IL,"2900 W Belmont Ave, Chicago, IL 60618",+17736048769,(773) 604-8769,3647.210278015558
Hot Dog Station,gFQ-NcVxqAb4S29S7DLehA,hot-dog-station-chicago-2,https://s3-media3.fl.yelpcdn.com/bphoto/7s2KgCx_DnqpkbQWZwy6kQ/o.jpg,False,https://www.yelp.com/biz/hot-dog-station-chicago-2?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,182,"hotdog | Hot Dogs, burgers | Burgers",4.5,41.9679886090324,-87.7134617808249,True,True,False,$,4742 N Kimball,,,Chicago,60625,US,IL,"4742 N Kimball, Chicago, IL 60625",+17735882580,(773) 588-2580,655.2606912468386
Tre Kronor,EqYsNrxTk6YM-Qk7xWC48g,tre-kronor-chicago,https://s3-media2.fl.yelpcdn.com/bphoto/KTsve2Bv83mNXD_5Bdz9Ew/o.jpg,False,https://www.yelp.com/biz/tre-kronor-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,739,"breakfast_brunch | Breakfast & Brunch, desserts | Desserts, scandinavian | Scandinavian",4.0,41.9759307505565,-87.7109275,False,False,False,$$,3258 W Foster Ave,,,Chicago,60625,US,IL,"3258 W Foster Ave, Chicago, IL 60625",+17732679888,(773) 267-9888,1201.4591677687583
Nhu Lan Saigon Subs,kysa2NqoR8iYIjuaWELeZA,nhu-lan-saigon-subs-chicago-3,https://s3-media4.fl.yelpcdn.com/bphoto/SBBs7AteKJuJlP6-9pQ8rw/o.jpg,False,https://www.yelp.com/biz/nhu-lan-saigon-subs-chicago-3?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,817,"vietnamese | Vietnamese, bakeries | Bakeries",4.5,41.9687048,-87.6944151,True,True,False,$,2612 W Lawrence Ave,,,Chicago,60625,US,IL,"2612 W Lawrence Ave, Chicago, IL 60625",+17738789898,(773) 878-9898,2226.069037369676
Torteria San Lenchito,_3hz43PN50iPIap6XnjU8w,torteria-san-lenchito-chicago-3,https://s3-media1.fl.yelpcdn.com/bphoto/Fry1fyC_ZvIRrYTy10ih0g/o.jpg,False,https://www.yelp.com/biz/torteria-san-lenchito-chicago-3?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,114,"mexican | Mexican, diners | Diners, sandwiches | Sandwiches",5.0,41.9686651,-87.7171894,False,True,False,$,4810 N Drake Ave,,,Chicago,60625,US,IL,"4810 N Drake Ave, Chicago, IL 60625",+17736541547,(773) 654-1547,343.5634967805163
Ay Ay Picante,NHCYS3udwbhO6qKeXx04hA,ay-ay-picante-chicago-3,https://s3-media4.fl.yelpcdn.com/bphoto/2TBMl1wPDPlP2ZWnCXnsVw/o.jpg,False,https://www.yelp.com/biz/ay-ay-picante-chicago-3?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,579,"seafood | Seafood, peruvian | Peruvian",4.0,41.964112,-87.734107,True,True,True,$$,4569 N Elston Ave,,,Chicago,60630,US,IL,"4569 N Elston Ave, Chicago, IL 60630",+17734274239,(773) 427-4239,1156.8335180366287
Salam Restaurant,IHb-KcVYS_wZBo4ZTIN_tw,salam-restaurant-chicago,https://s3-media3.fl.yelpcdn.com/bphoto/lRDL7caoP978qfxCk181sw/o.jpg,False,https://www.yelp.com/biz/salam-restaurant-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,584,"mideastern | Middle Eastern, mediterranean | Mediterranean, halal | Halal",4.0,41.9657874,-87.708574,True,True,False,$$,4636 N Kedzie Ave,,,Chicago,60625,US,IL,"4636 N Kedzie Ave, Chicago, IL 60625",+17735830776,(773) 583-0776,1076.9686705766544
LD Pho,jXFtE49rqbJyHuyc8DZuzA,ld-pho-chicago-2,https://s3-media2.fl.yelpcdn.com/bphoto/d-eF6yEQ3cjfgvPulBVNJQ/o.jpg,False,https://www.yelp.com/biz/ld-pho-chicago-2?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,174,vietnamese | Vietnamese,4.5,41.9672852,-87.7086269,True,True,False,$$,4722 N Kedzie Ave,,,Chicago,60625,US,IL,"4722 N Kedzie Ave, Chicago, IL 60625",+17739618551,(773) 961-8551,1059.2035447419203
Over Easy Cafe,0fYNLK7VpBUW4mgFyPCrWQ,over-easy-cafe-chicago-3,https://s3-media2.fl.yelpcdn.com/bphoto/cHb6OM6DNmkyR_wU7Q8_YA/o.jpg,False,https://www.yelp.com/biz/over-easy-cafe-chicago-3?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,1474,"breakfast_brunch | Breakfast & Brunch, cafes | Cafes",4.5,41.9717208,-87.6790834,True,False,False,$$,4943 N Damen Ave,,,Chicago,60625,US,IL,"4943 N Damen Ave, Chicago, IL 60625",+17735062605,(773) 506-2605,3522.546585046537
Mother Cluckers Kitchen,e9aAISx0navH8qMr33X4TA,mother-cluckers-kitchen-chicago,https://s3-media1.fl.yelpcdn.com/bphoto/_rr95Pu5Ji6BxaUC1C391A/o.jpg,False,https://www.yelp.com/biz/mother-cluckers-kitchen-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,776,"southern | Southern, tradamerican | American (Traditional)",4.5,41.9752685744915,-87.7522482539673,True,True,False,$$,5200 N Elston Ave,,,Chicago,60630,US,IL,"5200 N Elston Ave, Chicago, IL 60630",+17736854630,(773) 685-4630,2664.3398082338476
Ssyal Ginseng House,SqAuXYtYi35pcACj9e2Uhw,ssyal-ginseng-house-chicago-3,https://s3-media1.fl.yelpcdn.com/bphoto/Hl9A8AV5selEABmAAWp1aQ/o.jpg,False,https://www.yelp.com/biz/ssyal-ginseng-house-chicago-3?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,178,korean | Korean,4.5,41.968425,-87.732829,True,True,False,$$,4201 W Lawrence Ave,,,Chicago,60630,US,IL,"4201 W Lawrence Ave, Chicago, IL 60630",+17734275296,(773) 427-5296,947.6296151489007
Monti's,3HE0HPAOa4kS5y4OhzQfzg,montis-chicago,https://s3-media2.fl.yelpcdn.com/bphoto/0eOulIhtE3I2UTZ-FPqaow/o.jpg,False,https://www.yelp.com/biz/montis-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,645,"cheesesteaks | Cheesesteaks, pizza | Pizza, chicken_wings | Chicken Wings",4.5,41.968266340068,-87.694936727407,True,True,False,$$,4757 N Talman Ave,,,Chicago,60625,US,IL,"4757 N Talman Ave, Chicago, IL 60625",+17739426012,(773) 942-6012,2185.172824633919
Hala In Restaurant,61ZW2zyuzjAxt8K12UM3sg,hala-in-restaurant-chicago,https://s3-media3.fl.yelpcdn.com/bphoto/YInAgwh8Pn6wWz2Otg7hVQ/o.jpg,False,https://www.yelp.com/biz/hala-in-restaurant-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,293,"mideastern | Middle Eastern, arabian | Arabian",4.0,41.9682049,-87.74394,True,True,False,$$,4624 W Lawrence Ave,,,Chicago,60630,US,IL,"4624 W Lawrence Ave, Chicago, IL 60630",+17739303612,(773) 930-3612,1871.2467698473095
Gather,WODBuNjlEgNIf459Wh-AWw,gather-chicago,https://s3-media1.fl.yelpcdn.com/bphoto/pU4EqNbUa0ksC5EFiykRig/o.jpg,False,https://www.yelp.com/biz/gather-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,841,"wine_bars | Wine Bars, newamerican | American (New), breakfast_brunch | Breakfast & Brunch",4.5,41.9643402,-87.6853638,True,False,False,$$,4539 N Lincoln Ave,,,Chicago,60625,US,IL,"4539 N Lincoln Ave, Chicago, IL 60625",+17735069300,(773) 506-9300,3000.875905915407
Chicago Kalbi,VafY2u6YqUdnPwhty9RMCQ,chicago-kalbi-chicago-2,https://s3-media3.fl.yelpcdn.com/bphoto/BrSeHfo-ZP1231RGoqTRqg/o.jpg,False,https://www.yelp.com/biz/chicago-kalbi-chicago-2?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,315,"korean | Korean, bbq | Barbeque, japanese | Japanese",4.0,41.96856,-87.72277,True,False,False,$$,3752 W Lawrence Ave,,,Chicago,60625,US,IL,"3752 W Lawrence Ave, Chicago, IL 60625",+17736048183,(773) 604-8183,123.6822128017899
Angelo's Wine Bar,vyyTRcWa5AfRKcPC9ozn5w,angelos-wine-bar-chicago,https://s3-media1.fl.yelpcdn.com/bphoto/nfP4wJMOM-7jKDZ-etkpng/o.jpg,False,https://www.yelp.com/biz/angelos-wine-bar-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,299,"italian | Italian, cocktailbars | Cocktail Bars, wine_bars | Wine Bars",4.0,41.9613729151644,-87.7043616771698,True,True,False,$$,3026 W Montrose Ave,,,Chicago,60618,US,IL,"3026 W Montrose Ave, Chicago, IL 60618",+17735390111,(773) 539-0111,1609.2469930010445
Wabi Sabi,bisRsdEh-VlV0RFoe__XiQ,wabi-sabi-chicago,https://s3-media4.fl.yelpcdn.com/bphoto/73sROvIgTufyDTFc3lcPcA/o.jpg,False,https://www.yelp.com/biz/wabi-sabi-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,221,"sushi | Sushi Bars, ramen | Ramen",4.0,41.967286,-87.708665,True,True,False,$$,4720 N Kedzie Ave,,,Chicago,60625,US,IL,"4720 N Kedzie Ave, Chicago, IL 60625",+17738661161,(773) 866-1161,1057.5928363977125
Shokran Moroccan Restaurant,eoOZJ9-R0eY30ouPEnqP2w,shokran-moroccan-restaurant-chicago,https://s3-media1.fl.yelpcdn.com/bphoto/AN8Z-Enxe097Xlgh5Otrrg/o.jpg,False,https://www.yelp.com/biz/shokran-moroccan-restaurant-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,449,moroccan | Moroccan,4.5,41.953504,-87.728805,True,True,False,$$,4027 W Irving Park,,,Chicago,60641,US,IL,"4027 W Irving Park, Chicago, IL 60641",+17734279130,(773) 427-9130,1768.259318538089
SUBO Filipino Kitchen,qE08KWce0SrSCkPJgH1O_Q,subo-filipino-kitchen-chicago-2,https://s3-media3.fl.yelpcdn.com/bphoto/kkaQdx32O8RrLp8EjU4stw/o.jpg,False,https://www.yelp.com/biz/subo-filipino-kitchen-chicago-2?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,89,"filipino | Filipino, breakfast_brunch | Breakfast & Brunch",4.5,41.96704,-87.71358,True,True,False,$,4712 N Kimball Ave,,,Chicago,60625,US,IL,"4712 N Kimball Ave, Chicago, IL 60625",+17734782599,(773) 478-2599,643.2369210864771
Shibam Restaurant,9jZug9qvOZtJ90X2uf8zcQ,shibam-restaurant-chicago-6,https://s3-media4.fl.yelpcdn.com/bphoto/IhMd_fdRNdNZFcQVr_u7rA/o.jpg,False,https://www.yelp.com/biz/shibam-restaurant-chicago-6?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,203,"halal | Halal, mideastern | Middle Eastern",4.0,41.968302,-87.740308,True,True,False,$$,4807 N Elston Ave,,,Chicago,60630,US,IL,"4807 N Elston Ave, Chicago, IL 60630",+17739930518,(773) 993-0518,1566.0044710435566
Rojo Gusano,y2YPhJsm4ZAOysBVy5k4pg,rojo-gusano-chicago-2,https://s3-media1.fl.yelpcdn.com/bphoto/nrccKCDXNR76SfP1y2JgZg/o.jpg,False,https://www.yelp.com/biz/rojo-gusano-chicago-2?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,224,"latin | Latin American, mexican | Mexican, bars | Bars",4.0,41.9684136,-87.7246131,True,True,False,$$,3830 W Lawrence Ave,,,Chicago,60625,US,IL,"3830 W Lawrence Ave, Chicago, IL 60625",+17735394398,(773) 539-4398,263.11703939702454
