id,name,area,alias,image_url,is_closed,url,review_count,categories,rating,coordinates_latitude,coordinates_longitude,transactions_delivery,transactions_pickup,transactions_restaurant_reservation,price,location_address1,location_address2,location_address3,location_city,location_zip_code,location_country,location_state,display_address,phone,display_phone,distance
--Yw337vTC4fLKRCaw-PLQ,XOchimilco Mexican Restaurant,Ravenswood,xochimilco-mexican-restaurant-chicago,https://s3-media4.fl.yelpcdn.com/bphoto/TVLo6XcMWgGskOqivUvQIg/o.jpg,False,https://www.yelp.com/biz/xochimilco-mexican-restaurant-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,128,mexican | Mexican,5.0,41.9616665,-87.6802497,True,True,False,$$,2030-32 W Montrose Ave,,,Chicago,60618,US,IL,"2030-32 W Montrose Ave, Chicago, IL 60618",+17736611534,(773) 661-1534,865.714324575749
--li1INYTksr8rYmhP_wqQ,Los Flacos,Forest Glen,los-flacos-chicago,https://s3-media2.fl.yelpcdn.com/bphoto/zaX_KT72k7N9hwm1k5NyZQ/o.jpg,False,https://www.yelp.com/biz/los-flacos-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,56,mexican | Mexican,3.5,41.9685047,-87.7239459,True,True,False,$,3818 W Lawrence Ave,,,Chicago,60625,US,IL,"3818 W Lawrence Ave, Chicago, IL 60625",+18728060025,(872) 806-0025,5195.511921412395
-0jSje0DiHQj7GvO_JrHVg,Joey's Red Hots,Morgan Park,joeys-red-hots-chicago,https://s3-media4.fl.yelpcdn.com/bphoto/kNcFvSf_XLSNY5JqDapWcw/o.jpg,False,https://www.yelp.com/biz/joeys-red-hots-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,70,"hotdog | Hot Dogs, burgers | Burgers, tradamerican | American (Traditional)",3.5,41.68423,-87.6813,True,False,False,$,11500 S Western Ave,,,Chicago,60643,US,IL,"11500 S Western Ave, Chicago, IL 60643",+17736148997,(773) 614-8997,1333.4124300096798
-22GoLdX0clVOi-LVUJF6w,Midori Japanese Restaurant,North Park,midori-japanese-restaurant-chicago,https://s3-media2.fl.yelpcdn.com/bphoto/0htJpW4tqpYeQasZ5wBb1w/o.jpg,False,https://www.yelp.com/biz/midori-japanese-restaurant-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,218,"japanese | Japanese, sushi | Sushi Bars",4.0,41.9831782,-87.7117334,True,True,False,$$,3310 W Bryn Mawr Ave,,,Chicago,60659,US,IL,"3310 W Bryn Mawr Ave, Chicago, IL 60659",+17732679733,(773) 267-9733,1185.3997478448825
-2jS8byRMCht0H4CpqI-Eg,Nicksons,Garfield Ridge,nicksons-eatery-la-grange-2,https://s3-media2.fl.yelpcdn.com/bphoto/mSCm0KAlZyvJHWOCx_AiCQ/o.jpg,False,https://www.yelp.com/biz/nicksons-eatery-la-grange-2?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,363,"pubs | Pubs, tradamerican | American (Traditional)",4.0,41.8145499,-87.8700999,True,False,False,$$,30 S La Grange Rd,,,La Grange,60525,US,IL,"30 S La Grange Rd, La Grange, IL 60525",+17083544995,(708) 354-4995,8486.686574919846
-2l4IEiHcppZwqQ6HNIi_Q,Swift and Sons Tavern,Wrigleyville,swift-and-sons-tavern-chicago,https://s3-media2.fl.yelpcdn.com/bphoto/JtkBFoCFsl3T2PHHApDYxA/o.jpg,False,https://www.yelp.com/biz/swift-and-sons-tavern-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,12,"bars | Bars, tradamerican | American (Traditional), seafood | Seafood",3.5,41.947296,-87.656728,False,False,False,,3600 N Clark St,,,Chicago,60613,US,IL,"3600 N Clark St, Chicago, IL 60613",+17733600207,(773) 360-0207,424.30594224935555
-3NATs0hi6y0ORyEC4q7Ew,Mary's Morning Mix Up,Garfield Ridge,marys-morning-mix-up-brookfield-2,https://s3-media4.fl.yelpcdn.com/bphoto/OoztUMFop7PecfXAGCuP8A/o.jpg,False,https://www.yelp.com/biz/marys-morning-mix-up-brookfield-2?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,193,"breakfast_brunch | Breakfast & Brunch, juicebars | Juice Bars & Smoothies, tradamerican | American (Traditional)",4.5,41.8291981178227,-87.8498768806458,True,False,False,$$,9110 Broadway Ave,,,Brookfield,60513,US,IL,"9110 Broadway Ave, Brookfield, IL 60513",+17083870552,(708) 387-0552,7357.400647475853
-3UhToDI8YYrvkIRD8tySg,La Sardine,West Loop,la-sardine-chicago,https://s3-media2.fl.yelpcdn.com/bphoto/8b_VNn0-OgTam8Iwwnnwrw/o.jpg,False,https://www.yelp.com/biz/la-sardine-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,365,french | French,4.0,41.8833789,-87.6530362,True,False,False,$$$,111 N Carpenter St,,,Chicago,60607,US,IL,"111 N Carpenter St, Chicago, IL 60607",+13124212800,(312) 421-2800,38.49635193770878
-3om0QkYNBM85TsDdqsV-w,Jacqueline's,Wrigleyville,jacquelines-chicago,https://s3-media4.fl.yelpcdn.com/bphoto/Xop6bB_75HYPtKTG5duUlQ/o.jpg,False,https://www.yelp.com/biz/jacquelines-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,54,divebars | Dive Bars,4.0,41.9437923,-87.6452014,False,False,False,$,3420 N Broadway St,,,Chicago,60657,US,IL,"3420 N Broadway St, Chicago, IL 60657",+17734045149,(773) 404-5149,1190.7763880826176
-56w9imfIDro7JxTZ9W1lg,Taqueria Varitas,Grand Boulevard,taqueria-varitas-chicago,https://s3-media2.fl.yelpcdn.com/bphoto/A_VlJRR8x0GMTsej5uNMYg/o.jpg,False,https://www.yelp.com/biz/taqueria-varitas-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,56,mexican | Mexican,4.0,41.80979,-87.60878,True,True,False,$,700 E 47th St,,,Chicago,60653,US,IL,"700 E 47th St, Chicago, IL 60653",+18722443360,(872) 244-3360,930.4985403220289
-64Weew7ELLO8lEKExD38A,Philly Bros,Lincoln Park,philly-bros-chicago,https://s3-media4.fl.yelpcdn.com/bphoto/Fsubv7LMYyCfCWN2iXVbrA/o.jpg,False,https://www.yelp.com/biz/philly-bros-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,218,"halal | Halal, cheesesteaks | Cheesesteaks, chicken_wings | Chicken Wings",4.5,41.9255809136919,-87.6477861776948,True,True,False,$$,734 W Fullerton Ave,,,Chicago,60614,US,IL,"734 W Fullerton Ave, Chicago, IL 60614",+17732782767,(773) 278-2767,405.13987635096953
-6sLNoZu_NRfPd4DtaXlUQ,Tuxpan Mexican Grill,Jefferson Park,tuxpan-mexican-grill-chicago,https://s3-media2.fl.yelpcdn.com/bphoto/ix4JfUahvzEHAw0R3bEsFg/o.jpg,False,https://www.yelp.com/biz/tuxpan-mexican-grill-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,145,mexican | Mexican,3.5,41.9827421704092,-87.77428150177,True,True,False,$,5540 N Milwaukee Ave,,,Chicago,60630,US,IL,"5540 N Milwaukee Ave, Chicago, IL 60630",+17739304284,(773) 930-4284,471.78996093145696
-6zP5QS-wP9qpTKM1Aok6g,Couscous Restaurant,University Village,couscous-restaurant-chicago,https://s3-media2.fl.yelpcdn.com/bphoto/mJMHANhpFE72JLRZnD_isg/o.jpg,False,https://www.yelp.com/biz/couscous-restaurant-chicago?adjust_creative=PeboZDsRVf7Ryw7esOnirA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=PeboZDsRVf7Ryw7esOnirA,173,"mideastern | Middle Eastern, falafel | Falafel, vegetarian | Vegetarian",3.5,41.8691366,-87.6633982,True,True,False,$,1445 W Taylor St,,,Chicago,60607,US,IL,"1445 W Taylor St, Chicago, IL 60607",+13122262408,(312) 226-2408,656.4653213871096
