category,name,description,price
BAR BITES,NACHOS (Veg/Chicken),Crispy Corn Tortillas Topped With Spicy Baked Bean Salsa and Sour Cream,190/230
BAR BITES,CHEESE MASALA PAPAD,Crispy fried Mini Papads Topped With A Tangy Masala Mixture And Grated Cheese,160
BAR BITES,H.O.C SIGNATURE MASALA PEANUTS,A Favorful Version Of Regular Peanuts Tossed In A Variety of Spices,160
BAR BITES,SPICY TRICOLOUR CHAAT,"Fresh Peas, Corn Kernels & Black Gram Tossed With Chillies & Sirka onions",180
BAR BITES,CHATPATA CHANA CHAAT,A Delectable Blend Of Bengal Gram And A Tangy Mixture,160
BAR BITES,TANDOORI CHICKEN CHAAT,Clay Oven Roasted Chicken Blended With Classic Spices,220
BAR BITES,CHEESE DYNABITES,Classic Cheese Balls Served with New Orleans Dip,220
SALADS,GREEN SALAD,Traditional Green Cuts With Mint Yoghurt Dip,170
SALADS,HOC SALAD (Veg/Chicken),"Melange Of Crunchy Lettuce, Bell Peppers And Olives With Our Homemade Dressing",180/210
SALADS,WATERMELON & FETA,An All Time Classic - With Balsamic Glaze,210
SALADS,CAESAR SALAD (Veg/Chicken),"Crunchy Ice Berg Lettuce, Parmesan With the Classic Caesar Dressing",190/230
VEG STARTERS,CHEESE & CORN TRIANGLE (new),"Shredded Cheese, Corn & Seasonings Wrapped In Wonton Sheet & Deep Fried",220
VEG STARTERS,CHAMPIGNONS FARCIS (new),Sauteed Button Mushroom Stuffed With Cheese & Herbs,230
VEG STARTERS,CHILLI CHEESE CIGARA (new),"Deep Fried Rolls With Cheese, Chill & Herbs",220
VEG STARTERS,HOC CHIP & DIP BASKET,"Combination Of Onion Rings, Jalapeno Cheese Balls, Greek Potato Wedges, Habanero Green Chili Fries",390
VEG STARTERS,FRENCH FRIES,French Fries Tossed With Hoc Signature Cajun Spice Seasoning,190
VEG STARTERS,ONION RINGS,Extra Crispy Onion Rings With A Spicy Salsa,190
VEG STARTERS,MUSHROOM LOADED FRIES,Cheesy French Fries Topped With Mushrooms And Herbs,230
VEG STARTERS,GARLIC BREAD,Garlic Butter Flavoured Bread Topped With Cheese,190
VEG STARTERS,CHEESE CORN TIKKI,American Com & Cottage Cheese Patty Served with Mint Chutney,220
VEG STARTERS,CRISPY CHILLY MUSHROOM,Crispy Fried Mushrooms Tossed With Oriental Spices,220
VEG STARTERS,CRISPY CHILLY BABY CORN,Crispy Fried Babycom Tossed With Oriental Spices,190
VEG STARTERS,CRISPY CORN CHILLY PEPPER,"Fred Undi Lightly Crispy & Seasoned With Lime Juice, Salt, Chilli & Pepper",240
VEG STARTERS,HONEY CHILLY POTATO,Crispy Fried Potatoes Tossed With Chilli And Honey,190
VEG STARTERS,SESAME CHILLI PANEER,"Cottage Cheese Cubes Tossed In A Sweet & Spicy Sauce, Finished With Sesame Seeds",270
VEG STARTERS,PANDAN LEAF COTTAGE CHEESE,"Tender Cottage Cheese Wrapped In Fragrant Pandan Leaves, With Chilli Coriander Sauce",280
VEG STARTERS,MEZZE BASKET,"A Combination Of Hummus, Mutabal & Labneh, Served With Pita Bread",340
VEG FROM THE CLAY OVEN,MAKHMALI PANEER TIKKA,"Mouth Melting Paneer Cubes Marinated With A Cheese Curd Mixture, Cream And Mild Spices",270
VEG FROM THE CLAY OVEN,ANGARI PANEER TIKKA,Clay Oven Roasted Spicy Morsels Of Cottage Cheese,270
VEG FROM THE CLAY OVEN,TANDOORI STUFFED MUSHROOMS,"Mushrooms Filled With A Blend Of Indian Spices And Tangy Stuffing Mix, Adding A Unique Taste On The Bite",250
VEG FROM THE CLAY OVEN,TANDOORI VEG MOMOS,Soft And Juicy Vegetable Momos Marinated With Tandoori Masala And Char Grilled,220
CHICKEN STARTERS,CHICKEN LOADED FRIES,Cheesy French Fries Topped With Chicken & Herbs,260
CHICKEN STARTERS,SHANG DONG CHICKEN LOLLY POP,Crispy Lolly pops Crunched To Perfection & Tossed in our Signature Shang Dong Drip,260
CHICKEN STARTERS,HOC SIGNATURE CHICKEN WINGS,Sweet Chilly / Spiced Szechuan,260
CHICKEN STARTERS,PEPPER GARLIC CHICKEN,Cubes Of Chicken Tossed With Garlic And Pepper In Oriental Style,260
CHICKEN STARTERS,GUNTUR JUNCTION CHICKEN,Chicken Cubes Tossed With Freshly Ground Red Spices And Finished In South Indian Style,270
CHICKEN STARTERS,ANDHRA CHILLI CHICKEN *VERY HOT*,All Time Favourite Andhra Style Chicken Cooked With Coriander And Green Chilli Paste And Fresh Green Chillies,270
CHICKEN STARTERS,LEMON PEPPER CHICKEN,"Slice Chicken Wok Tossed, Finished With Pepper Garlic & Lime",260
CHICKEN STARTERS,JIANG CHILLI CHICKEN,Chicken Tossed With Shredded Ginger And Chilli In Jiang Style,260
CHICKEN STARTERS,CHICKEN GHEE ROAST,"Chicken Roasted With A Fiery Red, Tangy And Spicy With The Flavour Of Ghee",280
CHICKEN STARTERS,MASALA FRY CHICKEN (new),Classic Indian Style With Bone Deep fried Chicken Served With Mint Chutney,250
NON-VEG FROM THE CLAY OVEN,JAIPURI MURGH KA SOOLA,"Succulent Pieces Of Chicken Zapped With Red Spices, Cinnamon Flavour & Finished In Tandoor",270
NON-VEG FROM THE CLAY OVEN,TANDOORI MURGH (HALF/FULL),Chicken Marinated In Aromatic Indian Spices & Then Cooked In Tandoor,250/480
NON-VEG FROM THE CLAY OVEN,TANDOORI POMFRET,Indian Spices Marinated Whole Pomfret Skewered And Finished In Clay Oven,590
NON-VEG FROM THE CLAY OVEN,FISH TIKKA KALIMIRCH,"Fresh Cubes Of Basa Fish Marinated With Crushed Black Pepper & Indian Spices, Finished In Clay Oven",320
NON-VEG FROM THE CLAY OVEN,AMRITSAR FISH TIKKA,Spicy Fish Tikka Marinated In Traditional Spices And Char Grilled,320
NON-VEG FROM THE CLAY OVEN,KALMI KEBAB (3pcs),Clay Oven Roasted Chicken Drumsticks,260
NON-VEG FROM THE CLAY OVEN,ANGARI MURGH TIKKA,Clay Oven Roasted Spicy Morsels Of Chicken,260
NON-VEG FROM THE CLAY OVEN,TANDOORI LOLLIPOPS,Chicken Lollipops Marinated With Aromatic Indian Spices And Cooked In The Tandoor,270
NON-VEG FROM THE CLAY OVEN,MURGH MALAI TIKKA,Clay Oven Roasted Creamy Chunks Of Chicken,260
NON-VEG FROM THE CLAY OVEN,MURGH KASTURI KEBAB,Boneless Charcoal Smoked Chicken Tikka With Kasturi Methi Flavoured,260
NON-VEG FROM THE CLAY OVEN,TANDOORI CHICKEN MOMOS,Soft And Juicy Chicken Momos Marinated With Tandoori Masala And Char Grilled,260
NON-VEG FROM THE CLAY OVEN,TANDOORI KING PRAWNS,"King Prawns Marinated With Yogurt, Lime Juice, Bhatti Spices And Slowly Cooked In Tandoor",499
LAMB STARTERS,ANDHRA LAMB PEPPER FRY,Tender Mutton Pieces Tossed In South Indian Spices,350
